date,published_utc,title,description,article_url,id,sentiment_label,sentiment_score
2025-01-01,2025-01-01 12:10:00+00:00,Prediction: Warren Buffett's Berkshire Hathaway Stock Will Outperform the S&P 500 in 2025,"The article predicts that Berkshire Hathaway will outperform the S&P 500 in 2025, as Berkshire has reduced its exposure to high-flying tech stocks and holds more value-oriented and inflation-hedging assets.",https://www.fool.com/investing/2025/01/01/prediction-warren-buffetts-berkshire-hathaway/?source=iedfolrf0000001,b7ceee3f23719da1735cd6d41072a1782091cb992af7642a7033818352f65437,positive,1.0
2025-01-01,2025-01-01 23:15:00+00:00,Should You Buy Netflix Stock Before Jan. 6?,"Netflix had a successful 2024, streaming high-profile live events like a boxing match and NFL games, which drove its stock price up. The company is now expanding into live wrestling content, which could be another tailwind. The article suggests Netflix's live event strategy is a significant opportunity for the company.",https://www.fool.com/investing/2025/01/01/should-you-buy-netflix-stock-before-jan-6/?source=iedfolrf0000001,0639d20cce193f7d78cbee5dbec3002749fb70812849067c788017819f8f5350,positive,1.0
2025-01-03,2025-01-03 08:35:00+00:00,Nvidia Stock vs. Apple Stock: Billionaires Buy One and Sell the Other Ahead of 2025,"Hedge fund managers Ken Griffin and Steven Cohen made significant changes to their Nvidia and Apple stock positions in the third quarter. Griffin increased his Nvidia stake while reducing his Apple position, while Cohen bought Nvidia and exited his Apple position. The article analyzes the investment rationale behind these moves.",https://www.fool.com/investing/2025/01/03/nvidia-stock-apple-stock-billionaires-buy-sell/?source=iedfolrf0000001,2d1288aaa2e5eb18721899fdec6867427049ea8714c9637660e5093f3b5dde5b,neutral,0.0
2025-01-03,2025-01-03 09:28:00+00:00,These 5 Artificial Intelligence (AI) Stocks Make Up 28.8% of the Entire S&P 500 Index,"The article discusses how a small number of trillion-dollar technology stocks, including Apple, Nvidia, Microsoft, Alphabet, and Amazon, represent a significant portion of the S&P 500's value and are heavily investing in artificial intelligence (AI) to drive their growth.",https://www.fool.com/investing/2025/01/03/these-5-ai-stocks-make-288-entire-sp-500-index/?source=iedfolrf0000001,60fbb8d03db9534e8934b5afb0bdfe08010561900bd80e562d7c1ab6947eed0a,neutral,0.0
2025-01-03,2025-01-03 09:50:00+00:00,Could Buying Apple Stock Today Set You Up for Life?,"The article discusses Apple's growth challenges, noting that while the company has had remarkable success in the past, it may be past its prime growth era. The company's recent product launches, including an augmented reality headset and AI software, have not been game-changers, and Apple may need a new breakthrough to drive significant future growth and returns for investors.",https://www.fool.com/investing/2025/01/03/could-buying-apple-stock-today-set-you-up-for-life/?source=iedfolrf0000001,287b674df6043017a50f4df8f14852aea00bf25e0698564180f9e389ce722dc1,positive,1.0
2025-01-03,2025-01-03 10:15:00+00:00,"Is Apple a Buy, Sell, or Hold in 2025?","Apple's revenue growth has slowed compared to peers, but its services segment and robust free cash flow remain strong. The company's AI investments could drive future growth, but its current valuation is rich. Overall, Apple remains a compelling long-term investment, and current investors should consider holding.",https://www.fool.com/investing/2025/01/03/is-apple-a-buy-sell-or-hold-in-2025/?source=iedfolrf0000001,75ee928289ffa727f51e83fe60431d9625fdc1fbf6105fcb86ee194edfad6891,positive,1.0
2025-01-03,2025-01-03 16:27:52+00:00,"Apple iPhones Lose Ground In China As Subsidies Boost Huawei, Domestic Rivals","Apple's iPhone sales in China have declined as domestic brands like Huawei and Vivo gain market share, driven by government subsidies that benefit local manufacturers.",https://www.benzinga.com/news/global/25/01/42790373/apple-iphones-lose-ground-in-china-as-subsidies-boost-huawei-domestic-rivals,d9b84c16fbe80ad098815cd16fdeb3051e72ef63c43af11e94f4becf38b69621,negative,-1.0
2025-01-04,2025-01-04 08:30:00+00:00,"2 Artificial Intelligence (AI) Stocks to Buy Before They Soar to $4 Trillion in 2025, According to a Wall Street Analyst","Wall Street analyst Dan Ives predicts that Apple and Microsoft will become the first $4 trillion companies by 2025, driven by their advancements in artificial intelligence. However, the author expresses skepticism about the valuations of these stocks.",https://www.fool.com/investing/2025/01/04/2-ai-stocks-buy-before-soar-to-4-trillion-2025/?source=iedfolrf0000001,9fb78a9270a74372db83c39a39023661259df7844bc4210c18557f730b9db532,neutral,0.0
2025-01-05,2025-01-05 09:30:00+00:00,"Is Apple a Buy, Sell, or Hold in 2025?","The article discusses Apple's potential in artificial intelligence (AI) and the case for holding or selling the stock. While Apple's stock has outperformed the S&P 500 in recent years, the company's massive size raises questions about its ability to continue delivering impressive returns. The article suggests that Apple's AI initiatives, such as Apple Intelligence, could be a reason to hold the stock, but also notes that other fast-growing tech companies may be benefiting more from AI at the moment.",https://www.fool.com/investing/2025/01/05/is-apple-a-buy-sell-or-hold-in-2025/?source=iedfolrf0000001,7e192da8df6aa496a678a54c89a9914e1a0f5d40e0475c20aacb27e7c165410e,positive,1.0
2025-01-05,2025-01-05 10:29:00+00:00,Can Shiba Inu Reach $1 in 2025? The Answer Will Make Your Head Spin.,"Shiba Inu, a meme cryptocurrency, experienced a massive 107,499,900% surge in 2021 but has since fallen over 90% from its peak. While cryptocurrencies are expected to see growth in 2025, reaching $1 per Shiba Inu token is virtually impossible due to the token's massive supply and the impracticality of burning enough tokens to justify that price.",https://www.fool.com/investing/2025/01/05/can-shiba-inu-reach-1-in-2025-answer-make-head-spi/?source=iedfolrf0000001,e47bb26b6b16dbcd1ae6260985de9f69b5699644ff2e57e4bfe2e68f9228803f,negative,-1.0
